,Unnamed: 0,Abap,Ada,C/C++,C#,Cobol,Dart,Delphi,Go,Groovy,Haskell,Java,JavaScript,Julia,Kotlin,Lua,Matlab,Objective-C,Perl,PHP,Python,R,Ruby,Rust,Scala,Swift,TypeScript,VBA,Visual Basic,Date
0,0,"0,34","0,36","0,101","0,047","0,43",0,"0,028",0,"0,03","0,22","0,304","0,086",0,0,"0,16","0,021","0,19","0,074","0,188","0,025","0,39","0,33","0,08","0,03",0,0,"0,014","0,086","July 1, 2004"
1,1,"0,36","0,36","0,098","0,05","0,46",0,"0,027",0,"0,07","0,2","0,3","0,088",0,0,"0,15","0,021","0,18","0,071","0,193","0,026","0,41","0,4","0,09","0,03",0,0,"0,015","0,086","August 1, 2004"
2,2,"0,41","0,41","0,096","0,051","0,51",0,"0,026",0,"0,08","0,21","0,297","0,087",0,0,"0,19","0,021","0,19","0,07","0,195","0,027","0,4","0,41","0,1","0,03",0,0,"0,015","0,084","September 1, 2004"
3,3,"0,4","0,38","0,095","0,053","0,53",0,"0,028",0,"0,09","0,2","0,291","0,085",0,0,"0,22","0,022","0,2","0,072","0,193","0,029","0,42","0,46","0,11","0,04",0,0,"0,016","0,085","October 1, 2004"
4,4,"0,38","0,38","0,095","0,052","0,55",0,"0,028",0,"0,07","0,24","0,296","0,085",0,0,"0,23","0,022","0,22","0,071","0,194","0,028","0,41","0,45","0,13","0,04",0,0,"0,015","0,082","November 1, 2004"
5,5,"0,36","0,37","0,096","0,052","0,53",0,"0,028",0,"0,09","0,22","0,298","0,086",0,0,"0,21","0,021","0,21","0,07","0,197","0,027","0,4","0,42","0,13","0,04",0,0,"0,015","0,081","December 1, 2004"
6,6,"0,39","0,38","0,097","0,052","0,56",0,"0,026",0,"0,11","0,21","0,297","0,084",0,0,"0,24","0,022","0,19","0,07","0,198","0,029","0,39","0,47","0,15","0,03",0,0,"0,015","0,078","January 1, 2005"
7,7,"0,37","0,39","0,099","0,052","0,49",0,"0,027",0,"0,07","0,21","0,303","0,081",0,0,"0,25","0,023","0,18","0,069","0,196","0,029","0,38","0,45","0,15","0,03",0,0,"0,015","0,077","February 1, 2005"
8,8,"0,34","0,37","0,099","0,054","0,45",0,"0,026",0,"0,08","0,23","0,302","0,083",0,0,"0,23","0,024","0,15","0,069","0,195","0,028","0,42","0,46","0,13","0,03",0,0,"0,014","0,077","March 1, 2005"
9,9,"0,34","0,36","0,098","0,054","0,41",0,"0,026",0,"0,08","0,22","0,305","0,084",0,0,"0,22","0,022","0,13","0,067","0,199","0,028","0,4","0,43","0,11","0,02",0,0,"0,014","0,075","April 1, 2005"
10,10,"0,35","0,37","0,097","0,056","0,4",0,"0,025",0,"0,09","0,23","0,302","0,083",0,0,"0,23","0,022","0,13","0,068","0,199","0,029","0,41","0,47","0,09","0,02",0,0,"0,015","0,077","May 1, 2005"
11,11,"0,35","0,36","0,095","0,058","0,4",0,"0,024",0,"0,08","0,23","0,304","0,083",0,0,"0,24","0,023","0,12","0,066","0,198","0,03","0,41","0,55","0,1","0,01",0,0,"0,015","0,076","June 1, 2005"
12,12,"0,33","0,34","0,093","0,062","0,39",0,"0,025",0,"0,08","0,24","0,304","0,084",0,0,"0,21","0,023","0,13","0,065","0,195","0,03","0,44","0,62","0,11","0,01",0,0,"0,016","0,075","July 1, 2005"
13,13,"0,32","0,31","0,092","0,062","0,4",0,"0,024",0,"0,09","0,25","0,303","0,086",0,0,"0,21","0,021","0,11","0,065","0,197","0,031","0,44","0,66","0,12","0,02",0,0,"0,016","0,074","August 1, 2005"
14,14,"0,36","0,29","0,091","0,062","0,4",0,"0,023",0,"0,08","0,22","0,302","0,084",0,0,"0,26","0,021","0,13","0,066","0,199","0,033","0,45","0,79","0,18","0,01",0,0,"0,016","0,073","September 1, 2005"
15,15,"0,38","0,31","0,087","0,062","0,45",0,"0,024",0,"0,08","0,24","0,302","0,082",0,0,"0,28","0,022","0,14","0,066","0,197","0,035","0,49","0,95","0,16","0,01",0,0,"0,017","0,072","October 1, 2005"
16,16,"0,38","0,28","0,085","0,063","0,45",0,"0,025",0,"0,07","0,25","0,302","0,082",0,0,"0,3","0,023","0,13","0,066","0,196","0,036","0,51","0,011","0,17","0,01",0,0,"0,016","0,069","November 1, 2005"
17,17,"0,39","0,28","0,084","0,065","0,48",0,"0,025",0,"0,08","0,27","0,299","0,081",0,0,"0,32","0,024","0,11","0,066","0,194","0,039","0,53","0,012","0,16","0,01",0,0,"0,017","0,069","December 1, 2005"
18,18,"0,4","0,29","0,085","0,063","0,45",0,"0,024",0,"0,09","0,27","0,298","0,081",0,0,"0,35","0,023","0,11","0,063","0,197","0,04","0,51","0,014","0,15","0,02",0,0,"0,016","0,069","January 1, 2006"
19,19,"0,41","0,32","0,084","0,064","0,51",0,"0,025",0,"0,09","0,3","0,298","0,08",0,0,"0,37","0,024","0,13","0,061","0,196","0,04","0,56","0,016","0,14","0,02",0,0,"0,017","0,068","February 1, 2006"
20,20,"0,37","0,28","0,084","0,065","0,49",0,"0,024",0,"0,1","0,3","0,301","0,08",0,0,"0,34","0,025","0,11","0,059","0,196","0,039","0,53","0,017","0,09","0,02",0,0,"0,017","0,067","March 1, 2006"
21,21,"0,36","0,25","0,085","0,067","0,44",0,"0,022",0,"0,11","0,29","0,302","0,081",0,0,"0,35","0,025","0,1","0,058","0,2","0,038","0,53","0,018","0,09","0,03",0,0,"0,015","0,065","April 1, 2006"
22,22,"0,34","0,24","0,085","0,066","0,44",0,"0,021",0,"0,11","0,28","0,302","0,083",0,0,"0,35","0,023","0,1","0,055","0,204","0,037","0,52","0,019","0,07","0,03",0,0,"0,015","0,065","May 1, 2006"
23,23,"0,34","0,23","0,087","0,065","0,44",0,"0,019",0,"0,11","0,28","0,304","0,084",0,0,"0,36","0,022","0,11","0,054","0,206","0,037","0,53","0,019","0,07","0,03",0,0,"0,015","0,063","June 1, 2006"
24,24,"0,35","0,22","0,085","0,067","0,46",0,"0,019",0,"0,09","0,29","0,304","0,084",0,0,"0,4","0,023","0,13","0,054","0,205","0,036","0,56","0,019","0,08","0,02",0,0,"0,015","0,062","July 1, 2006"
25,25,"0,35","0,21","0,085","0,068","0,4",0,"0,019",0,"0,11","0,26","0,303","0,084",0,0,"0,39","0,023","0,12","0,054","0,206","0,036","0,51","0,021","0,08","0,02",0,"0,01","0,015","0,062","August 1, 2006"
26,26,"0,34","0,21","0,083","0,069","0,41",0,"0,019",0,"0,09","0,27","0,301","0,084",0,0,"0,44","0,021","0,13","0,055","0,205","0,038","0,53","0,022","0,09","0,02",0,"0,01","0,016","0,061","September 1, 2006"
27,27,"0,34","0,25","0,082","0,07","0,41",0,"0,02",0,"0,07","0,3","0,299","0,084",0,0,"0,45","0,022","0,14","0,055","0,202","0,039","0,54","0,023","0,09","0,02",0,"0,01","0,017","0,06","October 1, 2006"
28,29,"0,4","0,28","0,082","0,071","0,4",0,"0,02",0,"0,07","0,34","0,301","0,084",0,0,"0,47","0,023","0,14","0,054","0,2","0,04","0,57","0,024","0,09","0,02",0,"0,01","0,017","0,059","December 1, 2006"
29,30,"0,38","0,28","0,081","0,072","0,39",0,"0,019",0,"0,07","0,35","0,301","0,084",0,0,"0,42","0,023","0,11","0,054","0,199","0,042","0,57","0,025","0,08","0,02",0,"0,01","0,017","0,057","January 1, 2007"
30,31,"0,4","0,27","0,083","0,07","0,41",0,"0,019",0,"0,09","0,38","0,303","0,084",0,0,"0,42","0,024","0,13","0,052","0,196","0,043","0,62","0,025","0,1","0,03",0,0,"0,017","0,056","February 1, 2007"
31,32,"0,39","0,28","0,083","0,069","0,38",0,"0,018",0,"0,11","0,38","0,306","0,084",0,0,"0,37","0,024","0,11","0,049","0,199","0,043","0,62","0,025","0,1","0,02",0,0,"0,016","0,057","March 1, 2007"
32,34,"0,38","0,25","0,081","0,068","0,36",0,"0,018",0,"0,15","0,34","0,305","0,083",0,0,"0,37","0,025","0,12","0,048","0,203","0,044","0,63","0,026","0,11","0,05",0,0,"0,016","0,056","May 1, 2007"
33,35,"0,32","0,21","0,079","0,068","0,32",0,"0,018",0,"0,17","0,31","0,306","0,084",0,0,"0,3","0,024","0,12","0,048","0,204","0,045","0,58","0,028","0,11","0,06",0,0,"0,016","0,056","June 1, 2007"
34,36,"0,34","0,22","0,08","0,067","0,32",0,"0,018",0,"0,17","0,29","0,306","0,085",0,0,"0,33","0,024","0,12","0,047","0,203","0,043","0,59","0,028","0,11","0,06",0,0,"0,017","0,056","July 1, 2007"
35,37,"0,36","0,23","0,08","0,068","0,32",0,"0,017",0,"0,17","0,29","0,308","0,086",0,0,"0,36","0,022","0,11","0,046","0,208","0,042","0,58","0,028","0,07","0,07",0,0,"0,017","0,053","August 1, 2007"
36,38,"0,36","0,23","0,08","0,069","0,34",0,"0,017",0,"0,17","0,28","0,307","0,086",0,0,"0,35","0,022","0,11","0,048","0,208","0,042","0,62","0,028","0,07","0,08",0,0,"0,017","0,051","September 1, 2007"
37,39,"0,36","0,23","0,081","0,07","0,34",0,"0,017",0,"0,16","0,3","0,308","0,086",0,0,"0,37","0,022","0,1","0,048","0,205","0,043","0,69","0,028","0,06","0,09",0,0,"0,017","0,051","October 1, 2007"
38,40,"0,37","0,21","0,081","0,07","0,36",0,"0,018",0,"0,17","0,28","0,307","0,085",0,0,"0,37","0,022","0,1","0,048","0,199","0,045","0,74","0,029","0,07","0,08",0,0,"0,017","0,053","November 1, 2007"
39,41,"0,41","0,23","0,081","0,07","0,4",0,"0,017",0,"0,18","0,32","0,305","0,084",0,0,"0,4","0,023","0,12","0,048","0,196","0,047","0,81","0,028","0,07","0,09",0,0,"0,017","0,053","December 1, 2007"
40,42,"0,39","0,2","0,081","0,07","0,39",0,"0,017",0,"0,2","0,34","0,307","0,082",0,0,"0,39","0,024","0,13","0,046","0,198","0,049","0,8","0,029","0,07","0,11",0,0,"0,017","0,052","January 1, 2008"
41,43,"0,36","0,21","0,081","0,072","0,39",0,"0,017",0,"0,21","0,35","0,304","0,08",0,0,"0,41","0,025","0,13","0,045","0,197","0,05","0,85","0,029","0,08","0,11",0,0,"0,017","0,053","February 1, 2008"
42,44,"0,36","0,22","0,081","0,072","0,4",0,"0,017",0,"0,23","0,36","0,304","0,082",0,0,"0,43","0,025","0,14","0,044","0,193","0,051","0,86","0,029","0,08","0,12",0,0,"0,017","0,054","March 1, 2008"
43,45,"0,36","0,22","0,08","0,073","0,4",0,"0,016",0,"0,24","0,36","0,306","0,082",0,0,"0,42","0,025","0,13","0,043","0,194","0,051","0,83","0,029","0,07","0,12",0,0,"0,018","0,052","April 1, 2008"
44,46,"0,34","0,23","0,08","0,075","0,39",0,"0,017",0,"0,25","0,34","0,304","0,083",0,0,"0,41","0,025","0,14","0,041","0,196","0,051","0,79","0,029","0,06","0,12",0,0,"0,018","0,051","May 1, 2008"
45,47,"0,32","0,26","0,079","0,076","0,39",0,"0,017",0,"0,26","0,34","0,303","0,083",0,0,"0,44","0,025","0,15","0,04","0,197","0,05","0,77","0,029","0,08","0,15",0,0,"0,018","0,051","June 1, 2008"
46,48,"0,36","0,32","0,079","0,077","0,43",0,"0,018",0,"0,28","0,35","0,301","0,082",0,0,"0,45","0,025","0,15","0,04","0,196","0,051","0,81","0,029","0,07","0,15",0,0,"0,017","0,051","July 1, 2008"
47,49,"0,35","0,3","0,078","0,078","0,42",0,"0,019",0,"0,28","0,31","0,298","0,08",0,0,"0,46","0,026","0,18","0,041","0,195","0,052","0,8","0,029","0,09","0,16",0,0,"0,018","0,053","August 1, 2008"
48,50,"0,39","0,29","0,079","0,08","0,44",0,"0,019",0,"0,26","0,31","0,296","0,079",0,0,"0,46","0,025","0,18","0,041","0,197","0,053","0,83","0,029","0,08","0,15",0,0,"0,018","0,052","September 1, 2008"
49,51,"0,42","0,28","0,081","0,08","0,45",0,"0,019",0,"0,27","0,32","0,289","0,079",0,0,"0,45","0,027","0,19","0,042","0,195","0,056","0,87","0,028","0,08","0,16",0,0,"0,017","0,053","October 1, 2008"
50,52,"0,42","0,26","0,083","0,08","0,42",0,"0,018",0,"0,27","0,31","0,289","0,078",0,0,"0,45","0,027","0,17","0,042","0,193","0,058","0,85","0,028","0,08","0,16",0,0,"0,017","0,054","November 1, 2008"
51,53,"0,43","0,25","0,085","0,079","0,41",0,"0,018",0,"0,26","0,3","0,288","0,078",0,0,"0,42","0,028","0,16","0,042","0,192","0,059","0,91","0,027","0,08","0,13",0,0,"0,017","0,053","December 1, 2008"
52,54,"0,4","0,21","0,086","0,079","0,39",0,"0,018",0,"0,26","0,3","0,285","0,081",0,0,"0,43","0,027","0,16","0,042","0,19","0,063","0,93","0,027","0,1","0,13",0,0,"0,017","0,054","January 1, 2009"
53,55,"0,41","0,21","0,088","0,078","0,39",0,"0,016",0,"0,29","0,32","0,284","0,08",0,0,"0,42","0,028","0,14","0,042","0,188","0,063","0,97","0,027","0,1","0,13",0,0,"0,017","0,054","February 1, 2009"
54,56,"0,4","0,23","0,087","0,077","0,38",0,"0,017",0,"0,31","0,35","0,284","0,079",0,0,"0,46","0,03","0,15","0,042","0,185","0,064",1,"0,027","0,12","0,15",0,0,"0,018","0,055","March 1, 2009"
55,57,"0,38","0,23","0,087","0,077","0,37",0,"0,017",0,"0,3","0,34","0,285","0,078",0,0,"0,48","0,029","0,14","0,042","0,187","0,064","0,01","0,026","0,12","0,15",0,0,"0,019","0,055","April 1, 2009"
56,58,"0,39","0,23","0,087","0,075","0,42",0,"0,016",0,"0,3","0,35","0,285","0,077",0,0,"0,5","0,029","0,16","0,041","0,189","0,064","0,011","0,026","0,12","0,18",0,0,"0,019","0,055","May 1, 2009"
57,59,"0,4","0,2","0,087","0,073","0,43",0,"0,015",0,"0,31","0,34","0,282","0,078",0,0,"0,51","0,029","0,16","0,041","0,192","0,064","0,011","0,027","0,11","0,19",0,0,"0,02","0,054","June 1, 2009"
58,60,"0,44","0,2","0,09","0,072","0,45",0,"0,015",0,"0,29","0,32","0,279","0,075",0,0,"0,51","0,031","0,16","0,042","0,191","0,065","0,011","0,026","0,09","0,18",0,0,"0,022","0,054","July 1, 2009"
59,61,"0,46","0,19","0,091","0,071","0,47",0,"0,015",0,"0,28","0,31","0,277","0,077",0,0,"0,5","0,03","0,16","0,041","0,193","0,067","0,011","0,026","0,09","0,2",0,0,"0,022","0,054","August 1, 2009"
60,62,"0,47","0,18","0,095","0,07","0,46",0,"0,015",0,"0,26","0,29","0,277","0,077",0,0,"0,47","0,029","0,16","0,04","0,193","0,067","0,01","0,026","0,07","0,21",0,0,"0,022","0,054","September 1, 2009"
61,63,"0,48","0,18","0,098","0,068","0,47",0,"0,014",0,"0,26","0,28","0,277","0,076",0,0,"0,46","0,03","0,15","0,04","0,191","0,068","0,011","0,027","0,07","0,22",0,0,"0,022","0,053","October 1, 2009"
62,64,"0,49","0,18","0,1","0,067","0,44",0,"0,014",0,"0,28","0,28","0,277","0,076",0,0,"0,45","0,03","0,16","0,04","0,189","0,068","0,01","0,026","0,07","0,2",0,0,"0,022","0,054","November 1, 2009"
63,65,"0,49","0,18","0,103","0,066","0,46",0,"0,014",0,"0,3","0,29","0,278","0,075",0,0,"0,46","0,031","0,17","0,039","0,187","0,068","0,011","0,026","0,08","0,21",0,0,"0,023","0,054","December 1, 2009"
64,66,"0,5","0,18","0,105","0,064","0,48",0,"0,014","0,01","0,32","0,32","0,282","0,074",0,0,"0,5","0,03","0,22","0,037","0,186","0,066","0,011","0,025","0,09","0,23",0,0,"0,022","0,054","January 1, 2010"
65,67,"0,49","0,17","0,108","0,064","0,47",0,"0,013","0,02","0,32","0,32","0,284","0,073",0,0,"0,49","0,032","0,25","0,037","0,185","0,065","0,011","0,024","0,09","0,22",0,0,"0,022","0,053","February 1, 2010"
66,68,"0,51","0,17","0,11","0,062","0,49",0,"0,013","0,02","0,32","0,32","0,284","0,073",0,0,"0,49","0,033","0,25","0,035","0,183","0,064","0,012","0,024","0,1","0,21",0,0,"0,023","0,054","March 1, 2010"
67,69,"0,54","0,18","0,113","0,062","0,5",0,"0,013","0,03","0,35","0,32","0,286","0,074",0,0,"0,49","0,033","0,27","0,034","0,183","0,063","0,011","0,022","0,1","0,21",0,0,"0,023","0,054","April 1, 2010"
68,70,"0,58","0,18","0,115","0,062","0,52",0,"0,013","0,03","0,36","0,32","0,285","0,073",0,0,"0,51","0,033","0,28","0,033","0,182","0,062","0,012","0,022","0,11","0,22",0,0,"0,024","0,053","May 1, 2010"
69,71,"0,61","0,18","0,116","0,063","0,52",0,"0,013","0,04","0,37","0,32","0,284","0,074",0,0,"0,5","0,033","0,28","0,033","0,18","0,062","0,012","0,022","0,1","0,21",0,0,"0,024","0,053","June 1, 2010"
70,72,"0,62","0,19","0,115","0,064","0,54",0,"0,013","0,03","0,36","0,27","0,282","0,073",0,0,"0,49","0,035","0,34","0,033","0,179","0,062","0,012","0,022","0,1","0,21",0,0,"0,025","0,054","July 1, 2010"
71,73,"0,63","0,19","0,116","0,064","0,55",0,"0,013","0,03","0,35","0,26","0,285","0,072",0,0,"0,47","0,034","0,39","0,032","0,176","0,062","0,012","0,022","0,08","0,21",0,0,"0,026","0,053","August 1, 2010"
72,74,"0,63","0,2","0,117","0,065","0,54",0,"0,013","0,03","0,35","0,27","0,286","0,072",0,0,"0,48","0,033","0,48","0,032","0,174","0,063","0,012","0,023","0,09","0,22",0,0,"0,026","0,052","September 1, 2010"
73,75,"0,61","0,2","0,119","0,065","0,55",0,"0,012","0,03","0,35","0,27","0,284","0,069",0,0,"0,5","0,033","0,61","0,032","0,171","0,064","0,012","0,025","0,09","0,23",0,0,"0,026","0,052","October 1, 2010"
74,76,"0,6","0,2","0,119","0,066","0,55",0,"0,012","0,03","0,33","0,29","0,285","0,069",0,0,"0,49","0,034","0,73","0,031","0,167","0,065","0,013","0,025","0,08","0,23",0,0,"0,026","0,052","November 1, 2010"
75,77,"0,59","0,21","0,121","0,066","0,54",0,"0,012","0,03","0,32","0,3","0,284","0,068",0,0,"0,48","0,035","0,98","0,03","0,164","0,066","0,013","0,026","0,09","0,24",0,0,"0,025","0,052","December 1, 2010"
76,78,"0,56","0,2","0,123","0,065","0,5",0,"0,012","0,02","0,29","0,3","0,288","0,069",0,0,"0,47","0,033","0,011","0,028","0,164","0,067","0,013","0,026","0,07","0,26",0,0,"0,024","0,05","January 1, 2011"
77,79,"0,54","0,22","0,126","0,065","0,47","0,01","0,012","0,03","0,29","0,3","0,285","0,07",0,0,"0,46","0,034","0,012","0,027","0,164","0,069","0,013","0,026","0,07","0,25",0,0,"0,021","0,05","February 1, 2011"
78,80,"0,51","0,2","0,127","0,065","0,46","0,02","0,011","0,02","0,27","0,27","0,284","0,07",0,0,"0,45","0,035","0,014","0,026","0,164","0,07","0,013","0,026","0,06","0,24",0,0,"0,021","0,05","March 1, 2011"
79,81,"0,52","0,19","0,126","0,065","0,45","0,04","0,011","0,02","0,28","0,28","0,284","0,071",0,0,"0,44","0,034","0,015","0,026","0,164","0,069","0,013","0,025","0,06","0,24",0,0,"0,02","0,05","April 1, 2011"
80,82,"0,55","0,2","0,126","0,064","0,46","0,05","0,011","0,02","0,3","0,25","0,285","0,072",0,0,"0,45","0,032","0,017","0,025","0,166","0,07","0,013","0,025","0,07","0,25",0,0,"0,019","0,05","May 1, 2011"
81,83,"0,56","0,2","0,126","0,063","0,46","0,06","0,011","0,02","0,3","0,23","0,285","0,072",0,0,"0,47","0,031","0,018","0,025","0,167","0,07","0,013","0,026","0,05","0,26",0,0,"0,019","0,048","June 1, 2011"
82,84,"0,59","0,21","0,126","0,064","0,46","0,08","0,011","0,02","0,32","0,23","0,284","0,071",0,0,"0,48","0,032","0,02","0,024","0,166","0,07","0,013","0,026","0,06","0,25",0,0,"0,019","0,048","July 1, 2011"
83,85,"0,61","0,2","0,125","0,063","0,47","0,08","0,011","0,03","0,33","0,23","0,284","0,071",0,0,"0,5","0,03","0,021","0,025","0,164","0,069","0,014","0,027","0,06","0,29",0,0,"0,021","0,048","August 1, 2011"
84,86,"0,63","0,22","0,127","0,061","0,47","0,08","0,011","0,03","0,36","0,24","0,284","0,071",0,0,"0,5","0,029","0,022","0,025","0,164","0,07","0,014","0,026","0,06","0,3",0,0,"0,02","0,047","September 1, 2011"
85,87,"0,63","0,23","0,13","0,06","0,44","0,08","0,99","0,03","0,35","0,22","0,284","0,071",0,0,"0,49","0,029","0,023","0,024","0,163","0,073","0,014","0,026","0,05","0,32",0,0,"0,02","0,046","October 1, 2011"
86,88,"0,62","0,25","0,128","0,06","0,43","0,11","0,98","0,03","0,34","0,26","0,28","0,071",0,0,"0,49","0,029","0,027","0,025","0,161","0,074","0,014","0,026","0,05","0,34",0,0,"0,021","0,044","November 1, 2011"
87,89,"0,61","0,25","0,125","0,062","0,4","0,12","0,88","0,03","0,34","0,27","0,28","0,072",0,0,"0,47","0,03","0,03","0,023","0,159","0,077","0,015","0,025","0,06","0,33",0,0,"0,022","0,043","December 1, 2011"
88,90,"0,6","0,26","0,121","0,065","0,39","0,12","0,86","0,03","0,34","0,28","0,279","0,073",0,0,"0,48","0,03","0,034","0,023","0,157","0,078","0,015","0,024","0,06","0,34",0,0,"0,022","0,042","January 1, 2012"
89,91,"0,61","0,25","0,115","0,068","0,4","0,12","0,88","0,03","0,34","0,29","0,276","0,073","0,01",0,"0,52","0,031","0,037","0,023","0,157","0,079","0,015","0,025","0,07","0,33",0,0,"0,022","0,041","February 1, 2012"
90,92,"0,63","0,23","0,107","0,073","0,4","0,13","0,9","0,03","0,34","0,29","0,276","0,072","0,03",0,"0,54","0,032","0,039","0,022","0,155","0,08","0,015","0,025","0,06","0,34",0,0,"0,023","0,041","March 1, 2012"
91,93,"0,64","0,23","0,097","0,079","0,42","0,14","0,93","0,03","0,35","0,31","0,275","0,072","0,05",0,"0,59","0,033","0,043","0,022","0,152","0,081","0,016","0,026","0,07","0,36",0,0,"0,024","0,04","April 1, 2012"
92,94,"0,66","0,22","0,093","0,082","0,4","0,13","0,91","0,04","0,37","0,32","0,277","0,071","0,08",0,"0,64","0,033","0,042","0,022","0,152","0,081","0,016","0,026","0,07","0,35",0,0,"0,024","0,039","May 1, 2012"
93,95,"0,65","0,21","0,091","0,085","0,39","0,13","0,92","0,05","0,38","0,29","0,274","0,07","0,1",0,"0,64","0,032","0,044","0,022","0,153","0,081","0,016","0,027","0,07","0,36",0,0,"0,023","0,039","June 1, 2012"
94,96,"0,7","0,23","0,089","0,087","0,41","0,13","0,93","0,06","0,41","0,3","0,274","0,069","0,13",0,"0,66","0,032","0,044","0,022","0,151","0,081","0,017","0,028","0,08","0,4",0,0,"0,024","0,039","July 1, 2012"
95,97,"0,72","0,24","0,087","0,09","0,38","0,13","0,92","0,06","0,43","0,3","0,273","0,07","0,14",0,"0,65","0,031","0,045","0,021","0,149","0,082","0,017","0,028","0,07","0,41",0,0,"0,023","0,039","August 1, 2012"
96,98,"0,69","0,25","0,087","0,092","0,37","0,12","0,89","0,07","0,44","0,31","0,271","0,07","0,15","0,01","0,69","0,031","0,046","0,022","0,148","0,082","0,018","0,028","0,08","0,42",0,0,"0,022","0,038","September 1, 2012"
97,99,"0,68","0,25","0,088","0,093","0,35","0,12","0,86","0,08","0,43","0,29","0,271","0,07","0,14","0,01","0,68","0,03","0,048","0,021","0,15","0,083","0,018","0,027","0,08","0,4",0,0,"0,021","0,038","October 1, 2012"
98,100,"0,68","0,24","0,088","0,094","0,32","0,11","0,81","0,08","0,4","0,27","0,269","0,071","0,14","0,01","0,67","0,03","0,049","0,021","0,148","0,083","0,018","0,028","0,09","0,41",0,"0,02","0,021","0,037","November 1, 2012"
99,101,"0,69","0,25","0,087","0,096","0,32","0,11","0,83","0,09","0,4","0,29","0,269","0,071","0,14","0,01","0,68","0,031","0,049","0,021","0,145","0,084","0,019","0,028","0,1","0,41",0,"0,03","0,021","0,037","December 1, 2012"
100,102,"0,65","0,25","0,087","0,095","0,31","0,12","0,81","0,08","0,38","0,29","0,267","0,072","0,14","0,01","0,7","0,031","0,051","0,021","0,144","0,086","0,019","0,028","0,09","0,41",0,"0,04","0,02","0,037","January 1, 2013"
101,103,"0,6","0,24","0,087","0,096","0,29","0,12","0,76","0,08","0,36","0,28","0,269","0,071","0,13","0,01","0,69","0,031","0,052","0,02","0,144","0,089","0,019","0,028","0,09","0,41",0,"0,05","0,018","0,036","February 1, 2013"
102,104,"0,61","0,23","0,085","0,095","0,29","0,13","0,78","0,08","0,38","0,28","0,268","0,071","0,13","0,01","0,69","0,031","0,054","0,019","0,144","0,09","0,019","0,027","0,09","0,43",0,"0,08","0,018","0,036","March 1, 2013"
103,105,"0,63","0,24","0,084","0,095","0,31","0,13","0,78","0,09","0,38","0,27","0,266","0,072","0,14","0,01","0,7","0,032","0,054","0,019","0,142","0,092","0,02","0,027","0,09","0,45",0,"0,09","0,018","0,035","April 1, 2013"
